period_year,period_month,bill_date,distributor_code,stockist_code,stockist_name,hq_code,hq_name,mr_emp_id,mr_name,raw_product_code,raw_product_name,brand,canonical_product_code,quantity,amount
2025,7,2025-07-08,11.0,C0357,MANOJ MEDICAL AGENCY,S0012,ARRAH,ADLA70,,I0023,,LORAMYL,I0023,1561.0,26068.7
2025,4,2025-04-04,11.0,C0787,SHIVAM DRUG AGENCY,S0037,BIHARSHARIF,ADLA81,,I0111,,ARDEN MF SUSPENSION,I0111,200.0,9900.0
2025,7,2025-07-18,11.0,C0943,BHAVESH MEDICAL AGENCY,S0288,GAYA,ADLA77,,I0023,,LORAMYL,I0023,21.0,350.7
2025,7,2025-07-18,11.0,C0709,NISHA DRUGS AGENCY,S0182,SAMASTIPUR,ADLA86,,I0023,,LORAMYL,I0023,105.0,1753.5
2025,7,2025-07-24,11.0,C1050,ARADHYA MEDICALS ENTERPRISES,S0012,ARRAH,ADLA70,,I0023,,LORAMYL,I0023,2310.0,38577.0
2025,7,2025-07-30,11.0,C0357,MANOJ MEDICAL AGENCY,S0012,ARRAH,ADLA70,,I0023,,LORAMYL,I0023,1561.0,26068.7
2025,7,2025-07-30,11.0,C0913,BAIJNATH MEDICALS,S0012,ARRAH,ADLA70,,I0023,,LORAMYL,I0023,3080.0,51436.0
2025,8,2025-08-12,11.0,C1070,MA TARA MEDICO,S0359,AURANGABAD,ADLA80,,I0023,,LORAMYL,I0023,21.0,344.82
2025,8,2025-08-12,11.0,C1071,ADITYA DRUG AGENCY,S0334,MUZAFFARPUR,ADLA71,,I0023,,LORAMYL,I0023,21.0,350.7
2025,8,2025-08-12,11.0,C0787,SHIVAM DRUG AGENCY,S0037,BIHARSHARIF,ADLA81,,I0111,,ARDEN MF SUSPENSION,I0111,200.0,9900.0
2025,8,2025-08-14,11.0,C0914,SHREE RAM PHARMA,S0012,ARRAH,ADLA70,,I0023,,LORAMYL,I0023,500.0,8350.0
2025,8,2025-08-14,11.0,C0355,JAI MATA DI DRUG DISTRS.,S0270,PATNA,ADLA73,,I0023,,LORAMYL,I0023,596.0,9953.2
2025,8,2025-08-14,11.0,C0355,JAI MATA DI DRUG DISTRS.,S0270,PATNA,ADLA72,,I0023,,LORAMYL,I0023,596.0,9953.2
2025,4,2025-04-16,11.0,C0787,SHIVAM DRUG AGENCY,S0037,BIHARSHARIF,ADLA81,,I0111,,ARDEN MF SUSPENSION,I0111,200.0,9900.0
2025,8,2025-08-21,11.0,C0950,APOLLO PHARMA,S0359,AURANGABAD,ADLA80,,I0023,,LORAMYL,I0023,84.0,1402.8
2025,8,2025-08-29,11.0,C0357,MANOJ MEDICAL AGENCY,S0012,ARRAH,ADLA70,,I0023,,LORAMYL,I0023,1561.0,26068.7
2025,8,2025-08-29,11.0,C0889,NAVIN BROTHERS SURGICALS,S0321,SITAMARHI,ADLA84,,I0074,,HEPAHEAL SYRUP,I0074,50.0,5625.0
2025,8,2025-08-29,11.0,C0913,BAIJNATH MEDICALS,S0012,ARRAH,ADLA70,,I0023,,LORAMYL,I0023,2310.0,38577.0
2025,9,2025-09-10,11.0,C0914,SHREE RAM PHARMA,S0012,ARRAH,ADLA70,,I0023,,LORAMYL,I0023,500.0,8350.0
2025,9,2025-09-10,11.0,C1079,SATYAM DRUG AGENCY,S0288,GAYA,ADLA77,,I0023,,LORAMYL,I0023,42.0,701.4
2025,9,2025-09-15,11.0,C0787,SHIVAM DRUG AGENCY,S0037,BIHARSHARIF,ADLA81,,I0111,,ARDEN MF SUSPENSION,I0111,200.0,9900.0
2025,9,2025-09-26,11.0,C0787,SHIVAM DRUG AGENCY,S0037,BIHARSHARIF,ADLA81,,I0111,,ARDEN MF SUSPENSION,I0111,200.0,9900.0
2025,9,2025-09-26,11.0,C0355,JAI MATA DI DRUG DISTRS.,S0270,PATNA,ADLA73,,I0023,,LORAMYL,I0023,250.0,4175.0
2025,9,2025-09-26,11.0,C0355,JAI MATA DI DRUG DISTRS.,S0270,PATNA,ADLA72,,I0023,,LORAMYL,I0023,250.0,4175.0
2025,9,2025-09-26,11.0,C1050,ARADHYA MEDICALS ENTERPRISES,S0012,ARRAH,ADLA70,,I0111,,ARDEN MF SUSPENSION,I0111,100.0,4950.0
2025,9,2025-09-26,11.0,C1050,ARADHYA MEDICALS ENTERPRISES,S0012,ARRAH,ADLA70,,I0074,,HEPAHEAL SYRUP,I0074,100.0,11250.0
2025,4,2025-04-19,11.0,C0360,SHYAM PHARMA,S0270,PATNA,ADLA73,,I0023,,LORAMYL,I0023,385.0,6313.49
2025,4,2025-04-19,11.0,C0360,SHYAM PHARMA,S0270,PATNA,ADLA72,,I0023,,LORAMYL,I0023,385.0,6313.49
2025,9,2025-09-26,11.0,C1073,M R DRUG DISTRIBUTOR,S0377,MOTIHARI,M00848,,I0023,,LORAMYL,I0023,500.0,8350.0
2025,9,2025-09-26,11.0,C0913,BAIJNATH MEDICALS,S0012,ARRAH,ADLA70,,I0074,,HEPAHEAL SYRUP,I0074,50.0,5625.0
2025,9,2025-09-26,11.0,C1071,ADITYA DRUG AGENCY,S0334,MUZAFFARPUR,ADLA71,,I0111,,ARDEN MF SUSPENSION,I0111,150.0,7425.0
2025,10,2025-10-06,11.0,C0787,SHIVAM DRUG AGENCY,S0037,BIHARSHARIF,ADLA81,,I0111,,ARDEN MF SUSPENSION,I0111,380.0,18810.0
2025,10,2025-10-09,11.0,C0355,JAI MATA DI DRUG DISTRS.,S0270,PATNA,ADLA73,,I0023,,LORAMYL,I0023,250.0,4175.0
2025,10,2025-10-09,11.0,C0355,JAI MATA DI DRUG DISTRS.,S0270,PATNA,ADLA72,,I0023,,LORAMYL,I0023,250.0,4175.0
